t,S,I,R
0,46787960.0,1.0,0.0
1,46787961.0,0.0,0.0
2,46787961.0,0.0,0.0
3,46787961.0,0.0,0.0
4,46787961.0,0.0,0.0
5,46787961.0,0.0,0.0
6,46787961.0,0.0,0.0
7,46787961.0,0.0,0.0
8,46787960.0,1.0,0.0
9,46787961.0,0.0,0.0
10,46787961.0,0.0,0.0
11,46787961.0,0.0,0.0
12,46787961.0,0.0,0.0
13,46787961.0,0.0,0.0
14,46787961.0,0.0,0.0
15,46787961.0,0.0,0.0
16,46787961.0,0.0,0.0
17,46787961.0,0.0,0.0
18,46787961.0,0.0,0.0
19,46787961.0,0.0,0.0
20,46787961.0,0.0,0.0
21,46787961.0,0.0,0.0
22,46787961.0,0.0,0.0
23,46787961.0,0.0,0.0
24,46787957.0,0.0,0.0
25,46787954.0,0.0,0.0
26,46787959.0,0.0,0.0
27,46787944.0,0.0,0.0
28,46787948.0,0.0,0.0
29,46787922.0,0.0,0.0
30,46787925.0,0.0,0.0
31,46787915.0,1.0,1.0
32,46787902.0,2.0,2.0
33,46787921.0,3.0,3.0
34,46787815.0,5.0,5.0
35,46787851.0,10.0,10.0
36,46787771.0,17.0,17.0
37,46787533.0,28.0,28.0
38,46787304.0,35.0,35.0
39,46787325.0,54.0,54.0
40,46787906.0,55.0,55.0
41,46784873.0,133.0,133.0
42,46786607.0,194.0,195.0
43,46786265.0,287.0,289.0
44,46785475.0,339.0,342.0
45,46785622.0,528.0,533.0
46,46785176.0,613.0,623.0
47,46783078.0,813.0,830.0
48,46784471.0,1015.0,1043.0
49,46781622.0,1340.0,1375.0
50,46782795.0,1718.0,1772.0
51,46779282.0,2256.0,2311.0
52,46780404.0,2675.0,2808.0
53,46774684.0,3452.0,3647.0
54,46775325.0,4076.0,4365.0
55,46774890.0,4796.0,5138.0
56,46774463.0,5449.0,5982.0
57,46774283.0,6180.0,6803.0
58,46772399.0,6886.0,7716.0
59,46771530.0,7421.0,8464.0
60,46770379.0,8012.0,9387.0
61,46769666.0,8576.0,10348.0
62,46769629.0,8887.0,11198.0
63,46769045.0,9139.0,11947.0
64,46769842.0,8994.0,12641.0
65,46769591.0,8976.0,13341.0
66,46768649.0,8907.0,14045.0
67,46766891.0,8810.0,14792.0
68,46767512.0,8644.0,15447.0
69,46766829.0,8365.0,16081.0
70,46766601.0,8142.0,16606.0
71,46766948.0,7822.0,17209.0
72,46766937.0,7408.0,17756.0
73,46767463.0,6858.0,18056.0
74,46764150.0,6761.0,18708.0
75,46761342.0,6674.0,19315.0
76,46762068.0,6661.0,20002.0
77,46767031.0,5998.0,20043.0
78,46760560.0,5661.0,20453.0
79,46765573.0,5405.0,20852.0
80,46762711.0,5201.0,21282.0
81,46762033.0,5111.0,21717.0
82,46761169.0,4948.0,22157.0
83,46765437.0,4768.0,22524.0
84,46762144.0,4846.0,22902.0
85,46763042.0,4482.0,23190.0
86,46762609.0,4206.0,23521.0
87,46762831.0,3820.0,23822.0
88,46761542.0,4232.0,24275.0
89,46762900.0,4090.0,24543.0
90,46761637.0,3691.0,24543.0
91,46761495.0,3818.0,25100.0
92,46761813.0,3547.0,25264.0
93,46761988.0,3271.0,25428.0
94,46761030.0,3089.0,25613.0
95,46761108.0,2955.0,25857.0
96,46760769.0,2880.0,26070.0
97,46760252.0,2778.0,26299.0
98,46760762.0,2656.0,26478.0
99,46760568.0,2346.0,26621.0
100,46758131.0,2201.0,26744.0
101,46760447.0,2377.0,26920.0
102,46760196.0,2004.0,27104.0
103,46759791.0,2057.0,27321.0
104,46759859.0,2031.0,27459.0
105,46759883.0,1950.0,27563.0
106,46760398.0,1706.0,27563.0
107,46759344.0,1639.0,27709.0
108,46759752.0,1479.0,27778.0
109,46759555.0,1410.0,27888.0
110,46759539.0,1319.0,27940.0
111,46757546.0,1884.0,28628.0
112,46758817.0,1758.0,28678.0
113,46758727.0,1648.0,28752.0
114,46759209.0,1431.0,28752.0
115,46758067.0,1576.0,29035.0
116,46758926.0,1472.0,29035.0
117,46757277.0,1474.0,29037.0
118,46758264.0,1330.0,29039.0
119,46758254.0,1265.0,29043.0
120,46758665.0,1157.0,29045.0
121,46758757.0,1105.0,29045.0
122,46758622.0,417.0,29045.0
123,46758521.0,368.0,29046.0
124,46758576.0,299.0,29051.0
125,46758591.0,300.0,29052.0
126,46758576.0,18.0,29053.0
127,46758667.0,19.0,29054.0
128,46758740.0,17.0,29054.0
129,46758658.0,15.0,29054.0
130,46758593.0,11.0,29054.0
131,46758480.0,9.0,29054.0
132,46758405.0,9.0,29054.0
133,46758511.0,9.0,29054.0
134,46758584.0,8.0,29054.0
135,46758726.0,3.0,29054.0
136,46758688.0,2.0,29054.0
137,46758552.0,1.0,29054.0
138,46758322.0,0.0,29054.0
139,46758600.0,0.0,29054.0
140,46758537.0,7.0,29061.0
141,46758565.0,8.0,29062.0
142,46758666.0,9.0,29063.0
143,46758649.0,10.0,29064.0
144,46758561.0,12.0,29066.0
145,46758492.0,15.0,29069.0
146,46758465.0,23.0,29077.0
147,46758317.0,26.0,29080.0
148,46758578.0,28.0,29082.0
149,46758676.0,31.0,29085.0
150,46758566.0,40.0,29094.0
151,46758470.0,42.0,29103.0
152,46758410.0,45.0,29107.0
153,46758395.0,61.0,29124.0
154,46758837.0,60.0,29124.0
155,46758837.0,58.0,29124.0
156,46757590.0,58.0,29127.0
157,46758489.0,54.0,29131.0
158,46758443.0,55.0,29135.0
159,46758278.0,58.0,29140.0
160,46757967.0,57.0,29142.0
161,46758819.0,48.0,29142.0
162,46758819.0,39.0,29142.0
163,46756771.0,38.0,29145.0
164,46758147.0,24.0,29148.0
165,46757934.0,28.0,29152.0
166,46757445.0,31.0,29155.0
167,46757402.0,32.0,29159.0
168,46758802.0,28.0,29159.0
169,46758802.0,24.0,29159.0
170,46754219.0,21.0,29161.0
171,46757440.0,21.0,29163.0
172,46757439.0,23.0,29165.0
173,46756178.0,26.0,29168.0
174,46756535.0,26.0,29171.0
175,46758790.0,23.0,29171.0
176,46758790.0,19.0,29171.0
177,46752427.0,18.0,29173.0
178,46756958.0,16.0,29175.0
179,46756750.0,21.0,29180.0
180,46755990.0,23.0,29182.0
181,46755685.0,23.0,29184.0
182,46758777.0,21.0,29184.0
183,46758777.0,19.0,29184.0
184,46750218.0,43.0,29211.0
185,46752964.0,66.0,29237.0
186,46755770.0,67.0,29238.0
187,46754634.0,68.0,29239.0
188,46754212.0,69.0,29242.0
189,46758719.0,67.0,29242.0
190,46758719.0,62.0,29242.0
191,46750028.0,133.0,29315.0
192,46755009.0,136.0,29320.0
193,46755469.0,136.0,29320.0
194,46751065.0,162.0,29346.0
195,46753124.0,147.0,29358.0
196,46758603.0,121.0,29358.0
197,46758603.0,120.0,29358.0
198,46742305.0,148.0,29387.0
199,46753436.0,169.0,29411.0
200,46751752.0,296.0,29538.0
201,46751368.0,312.0,29554.0
202,46750234.0,264.0,29579.0
203,46758382.0,259.0,29579.0
204,46758382.0,259.0,29579.0
205,46738966.0,267.0,29613.0
206,46751179.0,307.0,29665.0
207,46750953.0,354.0,29712.0
208,46748566.0,379.0,29737.0
209,46748430.0,365.0,29752.0
210,46758209.0,341.0,29752.0
211,46758209.0,214.0,29752.0
212,46734554.0,281.0,29835.0
213,46749953.0,314.0,29893.0
214,46749445.0,356.0,29935.0
215,46749027.0,396.0,29975.0
216,46747326.0,546.0,30159.0
217,46757802.0,494.0,30159.0
218,46757802.0,447.0,30159.0
219,46731144.0,520.0,30257.0
220,46748662.0,583.0,30335.0
221,46748726.0,617.0,30369.0
222,46746757.0,688.0,30440.0
223,46745290.0,653.0,30488.0
224,46757473.0,595.0,30488.0
225,46757473.0,553.0,30488.0
226,46729968.0,614.0,30589.0
227,46747779.0,586.0,30745.0
228,46745784.0,825.0,30984.0
229,46745524.0,987.0,31146.0
230,46742336.0,979.0,31236.0
231,46756725.0,901.0,31236.0
232,46756725.0,867.0,31236.0
233,46725129.0,964.0,31404.0
234,46745517.0,1157.0,31645.0
235,46744897.0,1287.0,31775.0
236,46745449.0,1371.0,31859.0
237,46743716.0,1384.0,31973.0
238,46755988.0,1228.0,31973.0
239,46755988.0,989.0,31973.0
240,46724024.0,1006.0,32152.0
241,46755809.0,916.0,32152.0
242,46734507.0,1296.0,32532.0
243,46745828.0,1478.0,32714.0
244,46743809.0,1423.0,32827.0
245,46755134.0,1182.0,32827.0
246,46755134.0,1052.0,32827.0
247,46731515.0,1107.0,32966.0
248,46742736.0,1254.0,33227.0
249,46744167.0,1330.0,33303.0
250,46742109.0,1456.0,33429.0
251,46741503.0,1518.0,33670.0
252,46754291.0,1518.0,33670.0
253,46754291.0,1138.0,33670.0
254,46726240.0,1151.0,33865.0
255,46746898.0,1118.0,33945.0
256,46741837.0,1327.0,34154.0
257,46740349.0,1467.0,34294.0
258,46738259.0,1550.0,34516.0
259,46753445.0,1289.0,34516.0
260,46753445.0,1213.0,34516.0
261,46715339.0,1304.0,34733.0
262,46739137.0,1281.0,34951.0
263,46735881.0,1437.0,35107.0
264,46731713.0,1592.0,35262.0
265,46732617.0,1628.0,35493.0
266,46752468.0,1548.0,35493.0
267,46752468.0,1339.0,35493.0
268,46700001.0,1478.0,35772.0
269,46733504.0,1523.0,36039.0
270,46731989.0,1691.0,36207.0
271,46728001.0,1864.0,36380.0
272,46725747.0,1886.0,36619.0
273,46751342.0,1668.0,36619.0
274,46751342.0,1512.0,36619.0
275,46695944.0,1736.0,36998.0
276,46732056.0,1743.0,37236.0
277,46724060.0,3366.0,38859.0
278,46726826.0,3734.0,39227.0
279,46725871.0,3802.0,39574.0
280,46748387.0,3535.0,39574.0
281,46748387.0,3367.0,39574.0
282,46695489.0,3706.0,40086.0
283,46747875.0,3467.0,40086.0
284,46710624.0,4227.0,40846.0
285,46727248.0,4583.0,41202.0
286,46725080.0,4512.0,41510.0
287,46746451.0,4274.0,41510.0
288,46746451.0,2651.0,41510.0
289,46707694.0,2767.0,41994.0
290,46732373.0,2855.0,42429.0
291,46729863.0,3206.0,42780.0
292,46728696.0,3458.0,43032.0
293,46729445.0,3274.0,43360.0
294,46744601.0,3274.0,43360.0
295,46744601.0,2514.0,43360.0
296,46718203.0,2670.0,43872.0
297,46731324.0,2899.0,44409.0
298,46732961.0,3268.0,44778.0
299,46730557.0,3605.0,45115.0
300,46731699.0,3415.0,45409.0
301,46742552.0,2980.0,45409.0
302,46742552.0,2629.0,45409.0
303,46722172.0,2778.0,45810.0
304,46733452.0,2892.0,46252.0
305,46732105.0,3165.0,46525.0
306,46731055.0,3419.0,46779.0
307,46732223.0,3121.0,46993.0
308,46740968.0,2584.0,46993.0
309,46740968.0,2215.0,46993.0
310,46722893.0,2272.0,47387.0
311,46740574.0,1978.0,47387.0
312,46730428.0,2351.0,47760.0
313,46731921.0,2676.0,48085.0
314,46729077.0,2555.0,48365.0
315,46739596.0,2113.0,48365.0
316,46739596.0,1840.0,48365.0
317,46717898.0,1975.0,48754.0
318,46728491.0,2149.0,49142.0
319,46727546.0,2344.0,49337.0
320,46726312.0,2525.0,49518.0
321,46726479.0,2280.0,49667.0
322,46738294.0,2280.0,49667.0
323,46738294.0,1907.0,49667.0
324,46715947.0,1916.0,50001.0
325,46727046.0,1896.0,50261.0
326,46725136.0,2074.0,50439.0
327,46724734.0,2200.0,50565.0
328,46737396.0,1811.0,50565.0
329,46737396.0,1423.0,50565.0
330,46737396.0,1228.0,50565.0
331,46712636.0,1345.0,50863.0
332,46722689.0,1516.0,51183.0
333,46719815.0,1763.0,51430.0
334,46718336.0,1911.0,51578.0
335,46736383.0,1577.0,51578.0
336,46736383.0,1317.0,51578.0
337,46736383.0,1139.0,51578.0
338,46705563.0,1254.0,51819.0
339,46712090.0,1606.0,52171.0
340,46735790.0,1606.0,52171.0
341,46693185.0,1851.0,52416.0
342,46709890.0,1752.0,52615.0
343,46735346.0,1432.0,52615.0
344,46735346.0,1185.0,52615.0
345,46673523.0,1438.0,53016.0
346,46709099.0,1846.0,53424.0
347,46695473.0,2041.0,53619.0
348,46698263.0,2242.0,53820.0
349,46693709.0,2236.0,54055.0
350,46733906.0,1884.0,54055.0
351,46733906.0,1884.0,54055.0
352,46649164.0,2094.0,54510.0
353,46698756.0,2299.0,54914.0
354,46691007.0,2763.0,55378.0
355,46687822.0,3167.0,55782.0
356,46688894.0,3166.0,56182.0
357,46731779.0,2758.0,56182.0
358,46731779.0,2563.0,56182.0
359,46637190.0,3129.0,56949.0
360,46693991.0,3480.0,57535.0
361,46689644.0,3977.0,58032.0
362,46694515.0,4492.0,58547.0
363,46690783.0,4550.0,59060.0
364,46728901.0,4146.0,59060.0
365,46728901.0,3682.0,59060.0
366,46648453.0,4040.0,59822.0
367,46698351.0,4364.0,60546.0
368,46695254.0,4929.0,61111.0
369,46696458.0,5361.0,61543.0
370,46697269.0,5178.0,62127.0
371,46725834.0,4592.0,62127.0
372,46725834.0,4095.0,62127.0
373,46677830.0,4489.0,63036.0
374,46707757.0,4742.0,63802.0
375,46705402.0,5385.0,64445.0
376,46705150.0,5898.0,64958.0
377,46707892.0,5666.0,65488.0
378,46722473.0,4942.0,65488.0
379,46722473.0,4377.0,65488.0
380,46691520.0,4647.0,66190.0
381,46711184.0,4593.0,66720.0
382,46710075.0,4930.0,67057.0
383,46706001.0,5318.0,67445.0
384,46708684.0,4806.0,67842.0
385,46720119.0,4040.0,67842.0
386,46720119.0,3397.0,67842.0
387,46698735.0,3419.0,68377.0
388,46711680.0,3332.0,68820.0
389,46709540.0,3721.0,69209.0
390,46708839.0,4066.0,69554.0
391,46709737.0,3693.0,69883.0
392,46718078.0,3163.0,69883.0
393,46718078.0,2826.0,69883.0
394,46701633.0,2905.0,70350.0
395,46717419.0,2700.0,70542.0
396,46710836.0,3146.0,70988.0
397,46710682.0,3400.0,71242.0
398,46709428.0,3502.0,71879.0
399,46716082.0,3059.0,71879.0
400,46716082.0,2670.0,71879.0
401,46703826.0,2623.0,72177.0
402,46711481.0,2585.0,72468.0
403,46708140.0,2819.0,72702.0
404,46708880.0,2943.0,72826.0
405,46709614.0,2649.0,72999.0
406,46714962.0,2457.0,72999.0
407,46714962.0,2011.0,72999.0
408,46703438.0,1923.0,73165.0
409,46709693.0,1427.0,73306.0
410,46708335.0,1655.0,73534.0
411,46708094.0,1772.0,73651.0
412,46714310.0,1474.0,73651.0
413,46714310.0,1183.0,73651.0
414,46714310.0,949.0,73651.0
415,46697206.0,1458.0,74284.0
416,46707960.0,1486.0,74485.0
417,46713476.0,1486.0,74485.0
